A,B,C,D,E,F,source,target
Object,,,,,,give me the <A>,SELECT ?a WHERE { ?a hasName regex( <A> ) . ?a isGraspable true . ?a isReachableBy <receiver> }
Object,,,,,,that <A>,SELECT ?a WHERE { ?a hasName regex( <A> ) . <sender> isPointingAt ?a }
Object,,,,,,grab the <A>,SELECT ?a WHERE { ?a hasName regex( <A> ) . ?a isGraspable true . ?a isReachable <receiver> . ?a isVisibleBy <receiver> }
Object,,,,,,hold me the <A>,SELECT ?a WHERE { ?a hasName regex( <A> ) . ?a isGraspable true . ?a isHeldBy <sender> }
Object,,,,,,carry the <A>,SELECT ?a WHERE { ?a hasName regex( <A> ) . ?a isGraspable true . ?a isLiftable true }
Color,Object,,,,,which objects are <A>,SELECT ?a WHERE { ?a isA Object . ?a hasColor regex( <A> ) }
Color,Object,,,,,give me the <A> <B>,SELECT ?a WHERE { ?a hasName regex( <B> ) . ?a hasColor regex( <A> ) . ?a isGraspable true . ?a isReachableBy <receiver> }
Color,Object,,,,,hold me the <A> <B>,SELECT ?a WHERE { ?a hasName regex( <B> ) . ?a hasColor regex( <A> ) . ?a isGraspable true . ?a isHeldBy <sender> }
Color,Object,,,,,carry the <A> <B>,SELECT ?a WHERE { ?a hasName regex( <B> ) . ?a hasColor regex( <A> ) . ?a isGraspable true . ?a isHeldBy <sender> }
Object,Support,,,,,which <A> are on the <B>,SELECT ?a WHERE { ?a hasName regex( <A> ) . ?b isSupport true . ?a isOn ?b } 
Object,Support,,,,,give me the <A> that is on the <B>,SELECT ?a WHERE { ?a hasName regex( <A> ) .Â ?b hasName regex( <B> ) . ?b isSupport true . ?a isOn ?b . ?a isReachableBy <receiver> }
Object,Container,,,,,which <A> are inside the <B>,SELECT ?a WHERE { ?a hasName regex( <A> ) . ?b  hasName regex( <B> ) . ?a isIn ?b }
